Character,Time,Per_T_5,Per_B_5,Per_T_10,Per_B_10,Per_T_15,Per_B_15,Per_T_20,Per_B_20
A,3572,3750.6,3393.4,3929.2,3214.8,4107.8,3036.2,4286.4,2857.6
C,1218,1278.9,1157.1,1339.8,1096.2,1400.7,1035.3,1461.6,974.4
D,2302,2417.1,2186.9,2532.2,2071.8,2647.3,1956.7,2762.4,1841.6
E,7386.25,7755.5625,7016.9375,8124.875,6647.625,8494.1875,6278.3125,8863.5,5909
F,878,921.9,834.1,965.8,790.2,1009.7,746.3,1053.6,702.4
G,1425,1496.25,1353.75,1567.5,1282.5,1638.75,1211.25,1710,1140
H,8836,9277.8,8394.2,9719.6,7952.4,10161.4,7510.6,10603.2,7068.8
I,3629.25,3810.7125,3447.7875,3992.175,3266.325,4173.6375,3084.8625,4355.1,2903.4
J,2228,2339.4,2116.6,2450.8,2005.2,2562.2,1893.8,2673.6,1782.4
L,1634,1715.7,1552.3,1797.4,1470.6,1879.1,1388.9,1960.8,1307.2
N,5222.125,5483.23125,4961.01875,5744.3375,4699.9125,6005.44375,4438.80625,6266.55,4177.7
O,822,863.1,780.9,904.2,739.8,945.3,698.7,986.4,657.6
P,1399,1468.95,1329.05,1538.9,1259.1,1608.85,1189.15,1678.8,1119.2
R,2931.5,3078.075,2784.925,3224.65,2638.35,3371.225,2491.775,3517.8,2345.2
S,5150.428571,5407.95,4892.907143,5665.471429,4635.385714,5922.992857,4377.864286,6180.514286,4120.342857
T,9229,9690.45,8767.55,10151.9,8306.1,10613.35,7844.65,11074.8,7383.2
U,8129,8535.45,7722.55,8941.9,7316.1,9348.35,6909.65,9754.8,6503.2
