Character,Time
A,899
B,890
I,450
G,611
C,1204
A,1186
T,1190
D,601
R,1343
A,56806
N,597
K,756
E,209
G,597
G,699
S,601
F,790
R,554
O,827
M,798
G,589
A,1199
R,599
D,596
E,603
N,354
H,652
E,640
N,598
S,643
I,751
T,699
J,700
O,802
K,803
E,660
D,892
K,432
N,502
O,853
C,689
K,801
E,898
D,899
L,762
E,896
F,752
T,997
A,993
B,536
I,502
G,756
C,956
A,1094
T,735
D,753
R,1197
A,849
K,643
N,49502
E,550
G,600
G,563
S,1095
F,898
R,655
O,698
M,559
G,546
A,803
R,748
D,809
E,557
N,699
H,791
E,552
N,700
S,741
I,696
T,795
J,593
O,598
K,804
E,1103
D,1303
K,802
N,700
O,790
C,799
K,701
E,795
D,1094
L,801
E,687
F,795
T,679
M,586
O,603
R,708
E,599
N,602
O,604
N,595
S,1202
E,707
N,499
S,1104
E,800
O,501
R,1099
P,601
O,688
R,708
K,605
Q,993
U,597
I,799
C,777
K,597
L,706
Y,702
R,1660
A,1097
N,599
S,891
I,600
D,700
E,794
W,2149
A,1297
Y,502
S,1001
T,494
O,588
U,810
N,605
D,896
E,1703
R,1102
V,882
I,604
K,803
I,802
N,600
G,606
S,998
W,1098
E,916
T,998
X,707
R,1203
A,901
Y,12099
Y,606
O,608
N,596
D,702
E,703
R,702
Z,603
O,500
O,600
A,1151
D,447
D,603
I,835
T,707
I,856
O,699
N,844
A,692
L,651
B,674
R,691
I,949
C,691
K,759
S,899
C,889
A,854
U,302
S,1252
E,892
D,900
A,853
M,699
A,951
G,600
E,760
L,589
E,687
X,1066
C,788
L,752
A,604
I,755
M,695
E,753
D,1003
F,701
A,863
T,885
G,805
E,755
N,783
I,864
U,791
S,744
H,801
A,800
R,444
R,404
Y,537
I,603
N,700
J,687
U,602
L,698
Y,700
K,599
I,703
L,600
L,894
E,898
R,904
L,604
L,697
A,607
M,400
A,1102
S,1093
M,602
A,1004
S,601
S,1099
A,798
C,1099
R,799
E,1004
D,1088
N,685
I,799
N,798
E,619
O,599
L,611
D,1104
P,699
E,1498
O,600
P,600
L,713
E,901
Q,901
U,602
I,697
C,890
K,699
L,701
Y,790
R,746
I,656
C,796
K,760
S,1357
A,1195
W,1157
T,956
E,596
N,763
U,659
N,697
U,758
S,701
U,760
A,602
L,663
V,759
N,661
A,453848
W,883
