Character,Time
AB,3228
BI,2889
IG,2649
GC,2943
CA,2651
AY,2257
YD,2584
DR,2658
RA,2647
AN,4157
NK,5185
KE,3583
EG,2412
GG,2398
GS,2214
SF,2366
FR,2827
RO,2911
OM,2753
MG,2878
GA,3503
AR,3371
RD,2984
DE,2566
EN,2535
NH,2777
HE,2998
EN,3181
NS,2828
SI,3197
IT,3446
TJ,3239
JO,3000
OK,3100
KE,3142
ED,2813
DK,2997
KN,3354
NO,2975
OC,2788
CK,2766
KE,2475
ED,2221
DL,2288
LE,2453
EF,2344
FT,2659
TM,2644
MO,2724
OR,2961
RE,2538
EO,2953
ON,7027
NN,6721
NS,2835
SE,2492
EN,2583
NS,2647
SE,2637
EO,2696
OR,2325
RO,2002
OR,2288
RK,2593
KQ,2922
QU,3608
UI,3499
IC,3271
CK,2763
KL,2322
LY,2518
YR,2157
RA,2223
AI,2362
IM,2120
MS,2465
SI,2360
ID,2493
DE,3112
EW,2915
WA,3162
AY,2839
YS,2272
ST,2767
TO,2678
OU,2127
UN,1568
ND,1444
DE,2006
ER,2186
RV,2603
VI,2536
IK,2145
KI,1972
IN,1653
NG,2077
GS,2188
SW,2935
WE,3695
ET,3124
TX,2616
XR,2112
RA,2197
AY,2113
YY,2451
YO,2819
ON,2213
ND,2432
DE,2772
ER,2813
RZ,2927
ZO,2129
OO,1452
OA,1737
AD,2069
DD,2240
DI,2184
IT,2447
TI,2274
IO,2328
ON,2532
NA,2552
AL,2341
LB,2195
BR,3143
RI,3101
IC,2887
CK,2922
KS,2719
SA,2426
AA,1885
AB,2462
BI,2964
II,2524
IG,2265
GG,2076
GC,2347
CC,2717
CA,2648
AA,2671
AT,2417
TT,2124
TD,2461
DD,2590
DR,2223
RR,1978
RA,2346
AA,2407
AN,2982
NN,3800
NK,3517
KK,3117
KE,2781
EE,2737
EG,2330
GG,1530
GG,1500
GG,1900
GF,1926
FF,1924
FR,2129
RR,2067
RO,2161
OO,2332
OM,2434
MM,2295
MG,2328
GG,2660
GE,2516
EE,2316
ER,2216
RR,2024
RD,2181
DD,2457
DE,2809
EE,3155
EN,2994
NN,2505
NH,1887
HH,1685
HE,2263
EE,2768
EN,2315
NN,1553
NS,1655
SS,1903
SI,2069
II,2190
IT,1796
TT,1321
TJ,1466
JJ,1641
JO,1565
OO,1809
OK,1846
KK,1759
KE,1875
EE,2003
ED,2491
DD,3084
DK,2437
KK,1719
KN,2116
NN,2373
NO,2230
OO,2378
OC,2273
CC,2283
CK,2314
KK,2111
KE,2066
EE,1961
ED,1999
DD,2113
